Sum of Fluecases,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1997,1998,1999,2000,2001,2002,2003,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Grand Total
January,,,0,0,3,15,0,9,0,1470,213,423,354,108,180,30,780,561,6834,114,54,87,762,450,480,12927
February,0,0,0,0,0,15,6,51,3,1425,171,255,645,99,5859,105,1191,243,8541,1266,66,6,1227,489,531,22194
March,0,,0,0,0,3,15,90,3,1257,120,1050,912,192,8748,12,831,108,4107,525,132,387,1275,588,,20355
April,0,0,0,0,0,0,3,36,,675,33,933,789,168,456,18,774,99,1785,3,111,99,621,429,,7032
May,,,,0,0,0,0,27,,534,84,345,462,132,105,9,564,30,798,0,96,226,486,348,,4246
June,0,0,0,24,0,0,0,27,258,477,471,309,459,399,33,18,123,27,1041,0,147,123,549,255,,4740
July,0,3,0,24,0,27,27,30,717,2271,1014,765,927,549,66,51,633,36,2352,0,1317,660,759,1191,,13419
August,0,0,,0,0,30,27,27,6249,6411,510,1065,504,558,558,42,867,141,2088,0,5706,2586,1302,1119,,29790
September,0,0,0,0,0,3,6,0,3402,1587,288,1842,234,258,678,12,639,1455,1983,0,3951,906,963,633,,18840
October,0,0,0,0,0,0,0,0,1722,126,399,1299,69,111,498,21,684,1494,513,27,2874,336,1446,168,,11787
November,,0,0,3,0,0,0,0,1518,30,360,576,93,81,111,6,408,435,321,6,726,150,270,237,,5331
December,0,0,0,0,0,0,3,12,1224,3,399,207,342,48,27,21,267,1011,921,24,204,276,417,465,66,5937
Grand Total,0,3,0,51,3,93,87,309,15096,16266,4062,9069,5790,2703,17319,345,7761,5640,31284,1965,15384,5842,10077,6372,1077,156598
