Sum of Fluecases,Column Labels,,,,,,,,,,,,,,,,,,,
Row Labels,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Grand Total
January,,3,84,705,1467,171,108,210,57,747,9,1563,828,18,189,408,1800,774,2250,11391
February,,3,21,24,489,147,84,249,51,306,18,381,723,,192,378,411,222,1275,4974
March,,24,15,15,84,108,87,144,78,21,18,27,147,,162,174,153,39,,1296
April,,15,9,3,0,84,63,21,18,18,6,39,3,,111,87,21,0,,498
May,,6,15,6,0,3,24,0,0,3,0,3,0,,78,84,3,15,,240
June,,0,63,3,57,30,9,0,0,6,0,0,0,,51,48,27,6,,300
July,,18,27,0,102,0,0,0,0,3,3,0,0,,6,69,15,9,,252
August,,39,93,9,78,3,12,3,0,6,9,,0,,0,246,0,45,,543
September,,12,51,69,72,45,30,12,,30,21,,0,9,51,276,0,405,,1083
October,,0,75,60,309,33,30,0,0,18,12,,0,51,111,324,30,216,,1269
November,0,15,153,75,96,30,39,3,69,0,12,,6,111,486,702,246,222,,2265
December,0,57,492,189,150,99,102,6,156,3,231,51,240,138,369,1281,1476,834,447,6321
Grand Total,0,192,1098,1158,2904,753,588,648,429,1161,339,2064,1947,327,1806,4077,4182,2787,3972,30432
