Sum of Fluecases,,,,,,,,,,,,,
Row Labels,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
January,159,15,57,18,750,6,681,2214,330,0,12,456,861
February,138,99,99,288,1059,21,612,1536,888,9,0,498,1152
March,39,60,510,2352,267,54,312,576,831,96,0,363,555
April,21,30,306,612,78,39,63,153,0,54,0,183,216
May,9,30,105,9,117,51,30,45,0,15,3,111,57
June,12,360,78,12,381,150,24,33,0,15,66,117,3
July,90,975,1110,39,921,1590,45,189,0,432,306,330,108
August,639,315,747,60,1194,3246,273,1023,0,1491,663,867,222
September,1584,15,321,108,120,747,456,1443,6,825,771,1728,435
October,438,0,90,12,33,231,261,198,0,273,168,1428,198
November,9,6,54,12,15,162,45,45,0,162,66,276,105
December,3,18,48,84,3,159,69,252,21,33,60,315,84
Grand Total,3141,1923,3525,3606,4938,6456,2871,7707,2076,3405,2115,6672,3996
