Average of PRECTOT,Column Labels,,,,,,,,,,,,,
Row Labels,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
1,0.15,11.24,0.235967742,2.218548387,8.588548387,25.39854839,29.51532258,14.17903226,30.26467742,6.378870968,12.84,0.087096774,0.644354839,10.90315136
2,83.59870968,3.807258065,4.965806452,13.04145161,17.94645161,6.850322581,57.075,27.82564516,14.52032258,10.60177419,0.993709677,0.202258065,2.777580645,18.78509926
3,44.46290323,12.64048387,5.841935484,1.876612903,7.648225806,9.119516129,10.8116129,15.06,97.30983871,30.32177419,46.42645161,0.581774194,0.795483871,21.76127792
4,28.55129032,32.35919355,6.98483871,5.713387097,23.10951613,23.51016129,28.67290323,15.82354839,68.17774194,12.12677419,64.06258065,2.824354839,2.192419355,24.16220844
5,87.59290323,77.50370968,103.0819355,65.34048387,111.0603226,26.89806452,93.24774194,101.1064516,73.88645161,122.4206452,119.3809677,4.372096774,2.441774194,76.02565757
6,154.2283871,340.5916129,83.52983871,94.94467742,247.5346774,73.74564516,334.1248387,200.1020968,214.6225806,216.9654839,137.9587097,4.842096774,5.013548387,162.1695533
7,382.8290323,344.6530645,234.7787097,310.2067742,322.2722581,316.1933871,322.9248387,309.2227419,288.0385484,417.903871,315.2996774,11.89564516,12.88548387,276.0849256
8,250.0316129,303.7122581,296.4416129,304.1119355,305.2133871,249.5120968,294.7609677,304.2466129,339.7870968,148.7208065,338.8985484,9.449677419,5.890967742,242.3675062
9,192.4104839,164.313871,95.62854839,262.8509677,173.2654839,286.2666129,151.6029032,192.8632258,115.7195161,235.7979032,172.9148387,3.152741935,8.837096774,158.124938
10,23.44096774,30.62548387,89.06709677,31.72919355,8.084516129,26.48806452,142.3045161,57.98741935,38.08596774,75.58032258,35.52822581,0.216451613,0.788548387,43.07129032
11,1.203064516,1.988709677,5.729677419,15.09596774,1.835,3.542096774,3.941935484,0,1.582258065,0,0.46516129,0.079032258,0.461612903,2.763424318
12,0.341612903,1.240645161,3.183387097,6.010806452,3.416774194,1.114193548,2.386612903,20.59403226,0.264677419,0.11016129,1.117741935,0.056451613,1.10016129,3.149019851
Grand Total,104.0700806,110.3896909,77.45577957,92.76173387,102.4979301,87.38655914,122.6140995,104.9175672,106.8549731,106.4106989,103.8238844,3.146639785,3.652419355,86.61400434
